praxis | 2026-08-10T10:36:52-0600 | tool=unknown
praxis | 2026-08-10T10:36:59-0600 | tool=unknown
praxis | 2026-08-10T10:37:04-0600 | tool=unknown
praxis | 2026-08-10T10:37:20-0600 | tool=unknown
praxis | 2026-08-10T10:37:57-0600 | tool=unknown
praxis | 2026-08-10T11:05:53-0600 | tool=unknown
praxis | 2026-08-10T11:05:54-0600 | tool=unknown
praxis | 2026-08-10T11:05:57-0600 | tool=unknown
praxis | 2026-08-10T11:06:04-0600 | tool=unknown
praxis | 2026-08-10T11:06:05-0600 | tool=unknown
praxis | 2026-08-10T11:06:17-0600 | tool=unknown
praxis | 2026-08-10T11:06:17-0600 | tool=unknown
praxis | 2026-08-10T11:06:17-0600 | tool=unknown
praxis | 2026-08-10T11:06:43-0600 | tool=unknown
praxis | 2026-08-10T11:06:55-0600 | tool=unknown
praxis | 2026-08-10T11:07:02-0600 | tool=unknown
praxis | 2026-08-10T11:07:07-0600 | tool=unknown
praxis | 2026-08-10T11:07:08-0600 | tool=unknown
praxis | 2026-08-10T11:07:12-0600 | tool=unknown
praxis | 2026-08-10T11:07:19-0600 | tool=unknown
praxis | 2026-08-10T11:08:23-0600 | tool=unknown
praxis | 2026-08-10T11:21:31-0600 | tool=unknown
praxis | 2026-08-10T11:21:32-0600 | tool=unknown
praxis | 2026-08-10T11:21:32-0600 | tool=unknown
praxis | 2026-08-10T11:21:38-0600 | tool=unknown
praxis | 2026-08-10T11:21:39-0600 | tool=unknown
praxis | 2026-08-10T11:21:39-0600 | tool=unknown
praxis | 2026-08-10T11:21:45-0600 | tool=unknown
praxis | 2026-08-10T11:21:45-0600 | tool=unknown
praxis | 2026-08-10T11:21:50-0600 | tool=unknown
praxis | 2026-08-10T11:21:50-0600 | tool=unknown
praxis | 2026-08-10T11:22:36-0600 | tool=unknown
praxis | 2026-08-10T11:22:46-0600 | tool=unknown
praxis | 2026-08-10T11:22:54-0600 | tool=unknown
